fps,name,food_eaten,food_lost,points_gained,points_lost,crashed,winner,times,mapa
50,agent1,0,11,0,0,0,0,0.038860103626943004,mapa1.bmp
50,student,10,4,100,-120,1,0,0.7493036211699164,mapa2.bmp
50,agent1,4,10,40,0,0,1,0.08495821727019498,mapa2.bmp
50,student,4,2,40,-60,0,1,1.0585585585585586,mapa2.bmp
50,agent1,2,4,20,0,0,0,0.0945945945945946,mapa2.bmp
50,student,19,3,190,-140,0,1,0.7066326530612245,mapa2.bmp
50,agent1,3,19,30,0,1,0,0.10841836734693877,mapa2.bmp
50,student,15,5,150,-230,0,0,1.0200210748155953,mapa2.bmp
50,agent1,5,15,50,0,0,1,0.08851422550052687,mapa2.bmp
50,student,9,4,90,-190,0,0,1.7512437810945274,mapa2.bmp
50,agent1,4,9,40,0,0,1,0.0978441127694859,mapa2.bmp
50,student,15,7,150,-430,0,0,2.2456852791878172,mapa2.bmp
50,agent1,7,15,70,0,0,1,0.09543147208121827,mapa2.bmp
50,student,10,5,100,-290,0,1,1.747340425531915,mapa2.bmp
50,agent1,5,10,50,0,1,0,0.11835106382978723,mapa2.bmp
50,student,17,5,170,-230,0,1,1.72480181200453,mapa2.bmp
50,agent1,5,17,50,0,1,0,0.09173272933182333,mapa2.bmp
50,student,6,0,60,-70,1,0,0.9111111111111111,mapa2.bmp
50,agent1,0,6,0,0,0,1,0.08055555555555556,mapa2.bmp
50,student,15,4,150,-210,1,0,1.1539267015706807,mapa2.bmp
50,agent1,4,15,40,0,0,0,0.09738219895287958,mapa2.bmp
50,student,1,0,10,-10,0,0,0.8181818181818182,mapa2.bmp
50,agent1,0,1,0,0,1,0,0.03636363636363636,mapa2.bmp
50,student,3,1,30,-110,0,0,3.496774193548387,mapa2.bmp
50,agent1,1,3,10,0,0,1,0.1032258064516129,mapa2.bmp
50,student,14,7,140,-410,0,0,1.9502645502645504,mapa2.bmp
50,agent1,7,14,70,0,0,1,0.10476190476190476,mapa2.bmp
50,student,11,7,110,-170,0,0,1.318796992481203,mapa2.bmp
50,agent1,7,11,70,0,0,1,0.10827067669172932,mapa2.bmp
50,student,6,3,60,-310,0,1,2.7354596622889304,mapa2.bmp
50,agent1,3,6,30,0,1,0,0.09380863039399624,mapa2.bmp
50,student,4,2,40,-30,0,1,0.6340579710144928,mapa2.bmp
50,agent1,2,4,20,0,0,0,0.10869565217391304,mapa2.bmp
50,student,19,3,190,-160,0,1,0.8492569002123143,mapa2.bmp
50,agent1,3,19,30,0,0,0,0.09978768577494693,mapa2.bmp
50,student,7,2,70,-80,1,0,0.8825622775800712,mapa2.bmp
50,agent1,2,7,20,0,0,1,0.1103202846975089,mapa2.bmp
50,student,9,2,90,-230,0,0,1.7563636363636363,mapa2.bmp
50,agent1,2,9,20,0,0,1,0.09818181818181818,mapa2.bmp
50,student,10,6,100,-210,1,0,1.5069252077562327,mapa2.bmp
50,agent1,6,10,60,0,0,0,0.08310249307479224,mapa2.bmp
50,student,11,6,110,-80,0,1,0.6630434782608695,mapa2.bmp
50,agent1,6,11,60,0,0,0,0.09937888198757763,mapa2.bmp
50,student,3,1,30,-70,0,0,1.0909090909090908,mapa2.bmp
50,agent1,1,3,10,0,0,1,0.09090909090909091,mapa2.bmp
50,student,1,1,10,-20,0,0,0.7086614173228346,mapa2.bmp
50,agent1,1,1,10,0,1,0,0.07874015748031496,mapa2.bmp
50,student,13,6,130,-410,0,1,1.595171773444754,mapa2.bmp
50,agent1,6,13,60,0,0,0,0.08542246982358404,mapa2.bmp
50,student,11,5,110,-150,0,0,1.2009803921568627,mapa2.bmp
50,agent1,5,11,50,0,0,1,0.08169934640522876,mapa2.bmp
50,student,1,0,10,0,0,0,0.2777777777777778,mapa3.bmp
50,agent1,0,1,0,0,1,0,0.0,mapa3.bmp
50,student,5,2,50,-110,0,0,3.227027027027027,mapa3.bmp
50,agent1,2,5,20,0,0,1,0.04864864864864865,mapa3.bmp
50,student,43,14,430,-2400,0,0,2.760635571501794,mapa3.bmp
50,agent1,14,43,140,0,0,1,0.07380830343413634,mapa3.bmp
50,student,20,9,200,-600,0,0,3.0369928400954653,mapa3.bmp
50,agent1,9,20,90,0,0,1,0.05847255369928401,mapa3.bmp
50,student,17,11,170,-820,0,0,3.0567786790266513,mapa3.bmp
50,agent1,11,17,110,0,0,1,0.06836616454229433,mapa3.bmp
50,student,38,16,380,-1260,0,0,2.4195624195624195,mapa3.bmp
50,agent1,16,38,160,0,0,1,0.07078507078507079,mapa3.bmp
50,student,14,5,140,-260,0,0,1.9365558912386707,mapa3.bmp
50,agent1,5,14,50,0,0,1,0.06797583081570997,mapa3.bmp
50,student,24,11,240,-770,0,0,2.115651503469545,mapa3.bmp
50,agent1,11,24,110,0,0,1,0.07247494217424827,mapa3.bmp
50,student,31,6,310,-940,0,0,2.0652014652014654,mapa3.bmp
50,agent1,6,31,60,0,0,1,0.08498168498168499,mapa3.bmp
50,student,5,1,50,-40,0,0,0.8,mapa3.bmp
50,agent1,1,5,10,0,1,0,0.07555555555555556,mapa3.bmp
50,student,30,10,300,-1540,1,0,2.587680703959774,mapa3.bmp
50,agent1,10,30,100,0,0,0,0.07919547454431175,mapa3.bmp
50,student,39,17,390,-1620,0,0,2.3846503178928247,mapa3.bmp
50,agent1,17,39,170,0,0,1,0.07175295186194369,mapa3.bmp
50,student,23,13,230,-710,0,1,1.9125,mapa3.bmp
50,agent1,13,23,130,0,0,0,0.07678571428571429,mapa3.bmp
50,student,3,2,30,-170,0,0,2.6178010471204187,mapa3.bmp
50,agent1,2,3,20,0,0,1,0.08900523560209424,mapa3.bmp
50,student,17,14,170,-780,0,0,3.0895361380798274,mapa3.bmp
50,agent1,14,17,140,0,0,1,0.06903991370010787,mapa3.bmp
50,student,34,7,340,-890,0,1,1.818537859007833,mapa3.bmp
50,agent1,7,34,70,0,0,0,0.06592689295039164,mapa3.bmp
50,student,3,1,30,-50,0,0,3.7241379310344827,mapa3.bmp
50,agent1,1,3,10,0,0,1,0.06896551724137931,mapa3.bmp
50,student,27,9,270,-620,0,0,1.6960616438356164,mapa3.bmp
50,agent1,9,27,90,0,0,1,0.0821917808219178,mapa3.bmp
50,student,17,9,170,-320,0,1,1.6325459317585302,mapa3.bmp
50,agent1,9,17,90,0,0,0,0.08398950131233596,mapa3.bmp
50,student,23,7,230,-750,0,1,2.8091324200913244,mapa3.bmp
50,agent1,7,23,70,0,0,0,0.09406392694063927,mapa3.bmp
50,student,27,9,270,-790,0,0,2.6419077404222047,mapa3.bmp
50,agent1,9,27,90,0,0,1,0.07740422204847537,mapa3.bmp
50,student,23,4,230,-670,0,0,2.0814639905548997,mapa3.bmp
50,agent1,4,23,40,0,0,1,0.06847697756788666,mapa3.bmp
50,student,3,4,30,-130,0,0,4.201005025125628,mapa3.bmp
50,agent1,4,3,40,0,0,1,0.04522613065326633,mapa3.bmp
50,student,13,5,130,-330,0,0,2.3918495297805644,mapa3.bmp
50,agent1,5,13,50,0,0,1,0.07523510971786834,mapa3.bmp
20,student,4,0,40,0,1,0,0.25,qualify1.bmp
20,agent1,0,4,0,0,0,0,0.1484375,qualify1.bmp
50,student,2,0,20,0,1,0,0.17518248175182483,qualify1.bmp
50,agent1,0,2,0,0,0,1,0.15328467153284672,qualify1.bmp
50,student,5,0,50,-40,1,0,0.3683083511777302,qualify1.bmp
50,agent1,0,5,0,0,0,1,0.1284796573875803,qualify1.bmp
50,student,1,0,10,-10,0,1,0.3106060606060606,qualify1.bmp
50,agent1,0,1,0,0,1,0,0.18181818181818182,qualify1.bmp
50,student,3,3,30,-80,0,0,1.061576354679803,qualify1.bmp
50,agent1,3,3,30,0,1,0,0.10344827586206896,qualify1.bmp
50,student,2,1,20,-30,1,0,0.5989304812834224,qualify1.bmp
50,agent1,1,2,10,0,0,1,0.11229946524064172,qualify1.bmp
50,student,6,0,60,-60,0,1,0.42061855670103093,qualify1.bmp
50,agent1,0,6,0,0,1,0,0.09278350515463918,qualify1.bmp
50,student,9,4,90,-230,0,1,1.1238532110091743,qualify1.bmp
50,agent1,4,9,40,0,1,0,0.10825688073394496,qualify1.bmp
50,student,0,0,0,0,1,0,1.0,qualify1.bmp
50,agent1,0,0,0,0,0,0,0.1111111111111111,qualify1.bmp
20,student,1,2,10,-20,0,0,6.645833333333333,default
20,agent1,2,1,20,0,1,0,0.020833333333333332,default
20,student,2,1,20,0,0,1,0.35384615384615387,default
20,agent1,1,2,10,0,1,0,0.015384615384615385,default
20,student,2,1,20,0,0,0,0.36,default
20,agent1,1,2,10,0,1,0,0.06666666666666667,default
50,student,0,0,0,-10,0,1,20.5,qualify1.bmp
50,agent1,0,0,0,0,1,0,0.0,qualify1.bmp
20,student,1,0,10,0,0,1,0.8571428571428571,qualify1.bmp
20,agent1,0,1,0,0,1,0,0.09243697478991597,qualify1.bmp
20,student,5,0,50,-10,0,0,0.5594541910331384,qualify1.bmp
20,agent1,0,5,0,0,0,1,0.09746588693957114,qualify1.bmp
20,student,4,0,40,-60,1,0,0.8756476683937824,qualify1.bmp
20,agent1,0,4,0,0,0,1,0.06994818652849741,qualify1.bmp
20,student,0,0,0,0,0,1,0.9318181818181818,qualify1.bmp
20,agent1,0,0,0,0,1,0,0.13636363636363635,qualify1.bmp
20,student,1,1,10,-220,0,1,15.428571428571429,qualify1.bmp
20,agent1,1,1,10,0,1,0,0.09523809523809523,qualify1.bmp
20,student,5,2,50,-30,1,0,0.603042876901798,qualify1.bmp
20,agent1,2,5,20,0,0,1,0.12863070539419086,qualify1.bmp
20,student,2,0,20,0,1,0,1.5188679245283019,qualify1.bmp
20,agent1,0,2,0,0,0,1,0.1509433962264151,qualify1.bmp
20,student,2,1,20,-20,1,0,0.6883561643835616,qualify1.bmp
20,agent1,1,2,10,0,0,0,0.13356164383561644,qualify1.bmp
20,student,0,0,0,0,0,0,0.7142857142857143,qualify1.bmp
20,agent1,0,0,0,0,1,0,0.0,qualify1.bmp
20,student,3,2,30,0,0,0,0.4984709480122324,qualify1.bmp
20,agent1,2,3,20,0,1,0,0.13149847094801223,qualify1.bmp
20,student,3,0,30,-40,0,1,0.748730964467005,qualify1.bmp
20,agent1,0,3,0,0,1,0,0.11928934010152284,qualify1.bmp
20,student,1,1,10,-10,1,0,0.4682080924855491,qualify1.bmp
20,agent1,1,1,10,0,0,0,0.057803468208092484,qualify1.bmp
20,student,3,0,30,-210,0,0,2.194499017681729,qualify1.bmp
20,agent1,0,3,0,0,0,1,0.068762278978389,qualify1.bmp
20,student,0,0,0,0,0,1,2.4,qualify1.bmp
20,agent1,0,0,0,0,1,0,0.1,qualify1.bmp
20,student,9,0,90,-70,0,0,1.6642857142857144,qualify1.bmp
20,agent1,0,9,0,0,1,0,0.18571428571428572,qualify1.bmp
